STT,Định danh,Chủ đề,Đề bài (chuyển đổi),Đáp án (chuyển đổi),Lời giải (chuyển đổi),Nhận xét A,Nhận xét B,Ghi chú lỗi chuyển markdown
11,SP-11 (Trang 40 - Câu 39),Số phức,"Hỏi có bao nhiêu số phức $z$ thỏa mãn đồng thời các điều kiện: $|z-i| = 5$ và $z^2$ là số thuần ảo?

A. 2.
B. 3.
C. 4.
D. 0.",C. 4.,"Đặt $z = x+iy$ với $x,y \in \mathbb{R}$.
$|z-i|=5 \Leftrightarrow |x+iy-i|=5 \Leftrightarrow \sqrt{x^2+(y-1)^2}=5 \Leftrightarrow x^2+(y-1)^2=25$.
$z^2$ là số thuần ảo hay $(x+iy)^2$ là số thuần ảo
$\Leftrightarrow x^2+2ixy-y^2$ là số thuần ảo $\Rightarrow x^2-y^2=0 \Leftrightarrow x=\pm y$.
Vậy, ta có hệ phương trình:
$\begin{cases} x^2+(y-1)^2=25 \\ x=y \end{cases}$ hoặc $\begin{cases} x^2+(y-1)^2=25 \\ x=-y \end{cases}$
$\Leftrightarrow \begin{cases} y^2+(y-1)^2=25 \\ x=y \end{cases}$ hoặc $\begin{cases} y^2+(y-1)^2=25 \\ x=-y \end{cases}$
$\Leftrightarrow \begin{cases} y^2-y-12=0 \\ x=y \end{cases}$ hoặc $\begin{cases} y^2-y-12=0 \\ x=-y \end{cases}$
$\Leftrightarrow \begin{cases} y=4 \\ x=4 \end{cases}$ hoặc $\begin{cases} y=-3 \\ x=-3 \end{cases}$ hoặc $\begin{cases} y=4 \\ x=-4 \end{cases}$ hoặc $\begin{cases} y=-3 \\ x=3 \end{cases}$.
Vậy, ta có 4 số phức thỏa mãn điều kiện.",,,
12,SP-12 (Trang 44 - Câu 48),Số phức,"Xét các số phức $z$ thỏa mãn $|z+2-i|+|z-4-7i| = 6\sqrt{2}$. Gọi $m, M$ lần lượt là giá trị nhỏ nhất, giá trị lớn nhất của $|z-1+i|$. Tính $P = m+M$.

A. $P = \sqrt{13}+\sqrt{73}$.
B. $P = \dfrac{5\sqrt{2}+2\sqrt{73}}{2}$.
C. $P = 5\sqrt{2}+\sqrt{73}$.
D. $P = \dfrac{5\sqrt{2}+\sqrt{73}}{2}$.",B. $P = \dfrac{5\sqrt{2}+2\sqrt{73}}{2}$.,"Gọi $M(x;y)$ là điểm biểu diễn của $z$. Các điểm $A(-2;1), B(4;7), C(1;-1)$.
Ta có: $|z+2-i|+|z-4-7i|=6\sqrt{2} \Leftrightarrow MA+MB=6\sqrt{2}$, mà $AB=6\sqrt{2} \Rightarrow MA+MB=AB$.
Suy ra $M$ thuộc đoạn $AB$.
Phương trình đường thẳng $AB: y=x+3$, với $x \in [-2;4]$.
Ta có $|z-1+i| = MC \Rightarrow |z-1+i|^2 = MC^2 = (x-1)^2+(y+1)^2 = (x-1)^2+(x+4)^2 = 2x^2+6x+17$.
Đặt $f(x)=2x^2+6x+15, x \in [-2;4]$.
$f'(x)=4x+6, f'(x)=0 \Leftrightarrow x=-\dfrac{3}{2}$ (nhận).
Ta có: $f(-2)=13; f\left(-\dfrac{3}{2}\right)=\dfrac{25}{2}; f(4)=73$.
Vậy $f(x)_{\max}=f(4)=73; f(x)_{\min}=f\left(-\dfrac{3}{2}\right)=\dfrac{25}{2}$.
$\Rightarrow M=\sqrt{73}, m=\dfrac{5\sqrt{2}}{2} \Rightarrow P=\dfrac{5\sqrt{2}+2\sqrt{73}}{2}$.",,,"[Lỗi toán học trong tài liệu gốc] Trong lời giải có bước không nhất quán: dòng trên tính đúng MC² = 2x²+6x+17, nhưng dòng sau lại 'Đặt f(x)=2x²+6x+15' (thiếu, hằng số phải là 17). Đây là lỗi in sai (typo) đã CÓ SẴN trong ảnh gốc trang 44, bản chuyển đổi tái hiện trung thực. Các giá trị f(-2)=13, f(-3/2)=25/2, f(4)=73 và đáp án cuối B đều tính theo hằng số 17 nên kết quả không bị ảnh hưởng. Nên sửa '15' thành '17' cho nhất quán."
13,SP-13 (Trang 72 - Câu 37),Số phức,"Xét các số phức $z$ thỏa mãn $(z+2i)(\overline{z}+2)$ là số thuần ảo. Biết rằng tập hợp tất cả các điểm biểu diễn của $z$ là một đường tròn, tâm của đường tròn đó có tọa độ là

A. $(1;-1)$.
B. $(1;1)$.
C. $(-1;1)$.
D. $(-1;-1)$.",D. $(-1;-1)$.,"Giả sử $z=a+bi, (a,b\in\mathbb{R})$, ta được $(z+2i)(\overline{z}+2) = [a+(b+2)i][(a+2)-bi] = [a(a+2)+b(b+2)]+[(a+2)(b+2)-ab]i$.
$(z+2i)(\overline{z}+2)$ là số thuần ảo $\Leftrightarrow a(a+2)+b(b+2)=0 \Leftrightarrow (a+1)^2+(b+1)^2=2$ nên tập hợp tất cả các điểm biểu diễn của $z$ là một đường tròn phương trình $(x+1)^2+(y+1)^2=2$ có tâm $I(-1;-1)$.",,,
14,SP-14 (Trang 73 - Câu 42),Số phức,"Có bao nhiêu số phức $z$ thỏa mãn $|z|^2 = 2|z+\overline{z}|+4$ và $|z-1-i| = |z-3+3i|$?

A. 4.
B. 3.
C. 1.
D. 2.",B. 3.,"Gọi $z=x+yi$ $(x;y\in\mathbb{R})$.
$|z|^2=2|z+\overline{z}|+4 \Leftrightarrow x^2+y^2=4|x|+4 \Leftrightarrow \begin{cases} x^2+y^2-4x-4=0, x\geq 0 & (1)\\ x^2+y^2+4x-4=0, x<0 & (2)\end{cases}$.
$|z-1-i|=|z-3+3i| \Leftrightarrow (x-1)^2+(y-1)^2=(x-3)^2+(y+3)^2 \Leftrightarrow 4x=8y+16 \Leftrightarrow x=2y+4$ $(3)$.
+ Thay $(3)$ vào $(1)$ ta được: $(2y+4)^2+y^2-4(2y+4)-4=0 \Leftrightarrow 5y^2+8y-4=0 \Leftrightarrow \begin{bmatrix} y=\dfrac{2}{5} \Rightarrow x=\dfrac{24}{5} \text{ (nhận)} \\ y=-2 \Rightarrow x=0 \text{ (nhận)} \end{bmatrix}$.
+ Thay $(3)$ vào $(2)$ ta được: $(2y+4)^2+y^2+4(2y+4)-4=0 \Leftrightarrow 5y^2+24y+28=0 \Leftrightarrow \begin{bmatrix} y=-2 \Rightarrow x=0 \text{ (loại)} \\ y=-\dfrac{14}{5} \Rightarrow x=-\dfrac{8}{5} \text{ (nhận)} \end{bmatrix}$.
Vậy có 3 số phức thỏa điều kiện.",,,
15,SP-15 (Trang 80 - Câu 12),Số phức,"Môđun của số phức $1+2i$ bằng

A. 5.
B. $\sqrt{3}$.
C. $\sqrt{5}$.
D. 3.",C. $\sqrt{5}$.,Ta có: $|1+2i| = \sqrt{1^2+2^2} = \sqrt{5}$.,,,
16,SP-16 (Trang 84 - Câu 30),Số phức,"Cho hai số phức $z_1 = -3+i$ và $z_2 = 1-i$. Phần ảo của số phức $z_1+\overline{z_2}$ bằng

A. $-2$.
B. $2i$.
C. $2$.
D. $-2i$.",C. 2.,Ta có: $z_1+\overline{z_2} = -3+i+1+i = -2+2i$. Phần ảo của số phức $z_1+\overline{z_2}$ là $2$.,,,
17,SP-17 (Trang 84 - Câu 31),Số phức,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (1+2i)^2$ là điểm nào dưới đây?

A. $P(-3;4)$.
B. $Q(5;4)$.
C. $N(4;-3)$.
D. $M(4;5)$.",A. $P(-3;4)$.,"Ta có: $z = (1+2i)^2 = 1+4i+4i^2 = 1+4i-4 = -3+4i$.
Vậy, điểm biểu diễn số phức $z$ là $P(-3;4)$.",,,
18,SP-18 (Trang 96 - Câu 19),Số phức,"Số phức liên hợp của số phức $z = 2+i$ là

A. $\overline{z} = -2+i$.
B. $\overline{z} = -2-i$.
C. $\overline{z} = 2-i$.
D. $\overline{z} = 2+i$.",C. $\overline{z} = 2-i$.,Số phức liên hợp của số phức $z = 2+i$ là $\overline{z} = 2-i$.,,,
19,SP-19 (Trang 96 - Câu 20),Số phức,"Cho hai số phức $z_1 = 2+i$ và $z_2 = 1+3i$. Phần thực của số phức $z_1+z_2$ bằng

A. 1.
B. 3.
C. 4.
D. $-2$.",B. 3.,"Ta có $z_1+z_2 = 3+4i$.
Phần thực của số phức $z_1+z_2$ bằng $3$.",,,
20,SP-20 (Trang 97 - Câu 21),Số phức,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = -1+2i$ là điểm nào dưới đây?

A. $Q(1;2)$.
B. $P(-1;2)$.
C. $N(1;-2)$.
D. $M(-1;-2)$.",B. $P(-1;2)$.,Điểm biểu diễn số phức $z = -1+2i$ là điểm $P(-1;2)$.,,,
21,SP-21 (Trang 100 - Câu 35),Số phức,"Cho hai số phức $z_1 = 3-i$ và $z_2 = -1+i$. Phần ảo của số phức $z_1z_2$ bằng

A. 4.
B. $4i$.
C. $-1$.
D. $-i$.",A. 4.,"Ta có $z_1z_2 = (3-i)(-1+i) = -2+4i$.
Suy ra phần ảo của $z_1z_2$ bằng $4$.",,,
22,SP-22 (Trang 108 - Câu 1),Số phức,"Môđun của số phức $z = 3-i$ bằng

A. 8.
B. $\sqrt{10}$.
C. 10.
D. $2\sqrt{2}$.",B. $\sqrt{10}$.,Ta có $z = 3-i \Rightarrow |z| = \sqrt{10}$.,,,
23,SP-23 (Trang 109 - Câu 12),Số phức,"Cho số phức $z = 3-2i$, khi đó $2z$ bằng

A. $6-2i$.
B. $6-4i$.
C. $3-4i$.
D. $-6+4i$.",B. $6-4i$.,Ta có $2z = 2(3-2i) = 6-4i$.,,,
24,SP-24 (Trang 110 - Câu 15),Số phức,"Trên mặt phẳng tọa độ, cho $M(2;3)$ là điểm biểu diễn của số phức $z$. Phần thực của $z$ bằng

A. $2$.
B. $3$.
C. $-3$.
D. $-2$.",A. $2$.,"Vì $M(2;3)$ là điểm biểu diễn của số phức $z$ nên $z = 2+3i$.

Vậy phần thực của số phức $z$ là $2$.",,,
25,SP-25 (Trang 113 - Câu 35),Số phức,"Cho số phức $z$ thỏa mãn $i\bar{z} = 5+2i$. Phần ảo của $z$ bằng

A. $5$.
B. $2$.
C. $-5$.
D. $-2$.",A. $5$.,"Ta có $\bar{z} = \dfrac{5+2i}{i} = 2-5i$.

Suy ra $z = 2+5i$, do đó phần ảo của $z$ là $5$.",,,
26,SP-26 (Trang 116 - Câu 43),Số phức,"Trên tập hợp các số phức, xét phương trình $z^2 - 2mz + 8m - 12 = 0$ ($m$ là tham số thực). Có bao nhiêu giá trị nguyên của $m$ để phương trình đó có hai nghiệm phân biệt $z_1, z_2$ thỏa mãn $|z_1| = |z_2|$?

A. $5$.
B. $6$.
C. $3$.
D. $4$.",D. $4$.,"Ta có $\Delta' = m^2 - 8m + 12$.

Nếu $\Delta' > 0$ thì phương trình có hai nghiệm thực. Khi đó, $|z_1| = |z_2| \Leftrightarrow z_1 = -z_2 \Leftrightarrow z_1 + z_2 = 0 \Leftrightarrow m = 0$ (thỏa mãn).

Nếu $\Delta' < 0$, thì phương trình có hai nghiệm phức. Khi đó, là hai số phức liên hợp nên ta luôn có $|z_1| = |z_2|$ hay $m^2 - 8m + 12 < 0 \Leftrightarrow 2 < m < 6$ luôn thỏa mãn.

Vậy có 4 giá trị nguyên của tham số thỏa mãn.",,,
27,SP-27 (Trang 116 - Câu 44),Số phức,"Gọi $S$ là tập hợp tất cả các số phức $z$ sao cho số phức $w = \dfrac{1}{|z|-z}$ có phần thực bằng $\dfrac{1}{8}$. Xét các số phức $z_1, z_2 \in S$ thỏa mãn $|z_1-z_2|=2$, giá trị lớn nhất của $P = |z_1-5i|^2 - |z_2-5i|^2$ bằng

A. $16$.
B. $20$.
C. $10$.
D. $32$.",B. $20$.,"Gọi $z = x+yi$ suy ra $w = \dfrac{1}{(\sqrt{x^2+y^2}-x)-yi}$.

Từ đó suy ra phần thực của $w$ là $\dfrac{\sqrt{x^2+y^2}-x}{2\sqrt{x^2+y^2}\left(\sqrt{x^2+y^2}-x\right)} = \dfrac{1}{8} \Leftrightarrow \sqrt{x^2+y^2} = 4 \Leftrightarrow x^2+y^2 = 16$.

Vậy tập hợp điểm biểu diễn số phức $z$ là đường tròn $(O;4)$ với $O(0;0)$.

Gọi $A, B$ lần lượt là hai điểm biểu diễn số phức $z_1$ và $z_2$. Khi đó $AB = 2$ (vì $|z_1-z_2|=2$).

Gọi $I(0;5) \Rightarrow \begin{cases} |z_1-5i| = AI \\ |z_2-5i| = BI \end{cases}$.

Khi đó $P = AI^2 - BI^2 = (\overrightarrow{AO}+\overrightarrow{OI})^2 - (\overrightarrow{BO}+\overrightarrow{OI})^2 = 2\overrightarrow{OI}\cdot\overrightarrow{AB} \le 2OI\cdot AB = 20$.

Dấu ""="" xảy ra khi $\overrightarrow{OI}$ và $\overrightarrow{AB}$ cùng hướng.",,,
28,SP-28 (Trang 121 - Câu 1),Số phức,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=7-6i$ có tọa độ là

A. $(-6;7)$.
B. $(6;7)$.
C. $(7;6)$.
D. $(7;-6)$.",D. $(7;-6)$.,Điểm biểu diễn số phức $z=7-6i$ có tọa độ là $(7;-6)$.,,,
29,SP-29 (Trang 123 - Câu 12),Số phức,"Cho số phức $z = 2+9i$, phần thực của số phức $z^2$ bằng

A. $-77$.
B. $4$.
C. $36$.
D. $85$.",A. $-77$.,Ta có $z^2 = (2+9i)^2 = 4+36i+81i^2 = -77+36i$ nên phần thực của số phức $z^2$ bằng $-77$.,,,
30,SP-30 (Trang 123 - Câu 16),Số phức,"Phần ảo của số phức $z = 2-3i$ là

A. $-3$.
B. $-2$.
C. $2$.
D. $3$.",A. $-3$.,Phần ảo của số phức $z = 2-3i$ là $-3$.,,,
31,SP-31 (Trang 127 - Câu 35),Số phức,"Trên mặt phẳng tọa độ, biết tập hợp điểm biểu diễn các số phức $z$ thỏa mãn $|z+2i|=1$ là một đường tròn. Tâm của đường tròn đó có tọa độ là

A. $(0;2)$.
B. $(-2;0)$.
C. $(0;-2)$.
D. $(2;0)$.",C. $(0;-2)$.,"Gọi $z = x+yi$, với $x,y \in \mathbb{R}$. Khi đó $z+2i = x+(y+2)i$.

Ta có $|z+2i|=1 \Leftrightarrow \sqrt{x^2+(y+2)^2}=1 \Leftrightarrow x^2+(y+2)^2=1$.

Vậy tập hợp điểm biểu diễn các số phức $z$ là đường tròn tâm $I(0;-2)$ bán kính $R=1$.",,,
32,SP-32 (Trang 130 - Câu 42),Số phức,"Xét các số phức $z$ thỏa mãn $|z^2-3-4i| = 2|z|$. Gọi $M$ và $m$ lần lượt là giá trị lớn nhất và giá trị nhỏ nhất của $|z|$. Giá trị của $M^2+m^2$ bằng

A. $28$.
B. $18+4\sqrt{6}$.
C. $14$.
D. $11+4\sqrt{6}$.",C. $14$.,"Gọi $z=x+yi$, với $x,y\in\mathbb{R}$. Ta có

$|z^2-3-4i|=2|z|$

$\Leftrightarrow |z^2-(2+i)^2|=2|z|$

$\Leftrightarrow \left((x-2)^2+(y-1)^2\right)\left((x+2)^2+(y+1)^2\right)=4(x^2+y^2)$

$\Leftrightarrow (t+5)^2-(4x+2y)^2=4t$, với $t=x^2+y^2$

$\Leftrightarrow (4x+2y)^2=t^2+6t+25$

$\Leftrightarrow 20t \ge t^2+6t+25$ (bất đẳng thức B.C.S)

$\Leftrightarrow t^2-14t+25 \le 0$

$\Leftrightarrow 7-2\sqrt{6} \le t \le 7+2\sqrt{6}$

$\Leftrightarrow \sqrt{6}-1 \le |z| \le \sqrt{6}+1$.

Suy ra giá trị lớn nhất của $|z|$ là $M=1+\sqrt{6}$ và giá trị nhỏ nhất là $m=1-\sqrt{6}$.

Vậy $M^2+m^2=14$.",,,
33,SP-33 (Trang 132 - Câu 45),Số phức,"Trên tập hợp số phức, xét phương trình $z^2 - 2(m+1)z + m^2 = 0$ ($m$ là tham số thực). Có bao nhiêu giá trị của $m$ để phương trình đó có hai nghiệm phân biệt $z_1, z_2$ thỏa mãn $|z_1|+|z_2|=2$?

A. $1$.
B. $4$.
C. $2$.
D. $3$.",C. $2$.,"Ta có $\Delta' = (m+1)^2-m^2=2m+1$. Ta có các trường hợp (TH) sau:

TH1. $\Delta<0 \Leftrightarrow m<-\dfrac{1}{2}$. Khi đó $z_1=\overline{z_2}$, suy ra $2|z_1|=|z_1|+|z_2|=2 \Rightarrow |z_1|=1 \Rightarrow m^2=z_1z_2=|z_1|^2=1 \Rightarrow m=\pm1$.

Kết hợp với điều kiện, $m<-\dfrac{1}{2}$, ta được $m=-1$.

TH2. $\Delta \ge 0 \Leftrightarrow m \ge -\dfrac{1}{2}$. Khi đó phương trình đã cho có hai nghiệm thực thỏa mãn $z_1+z_2=2(m+1)$ và $z_1z_2=m^2$. Do đó

$4=(|z_1|+|z_2|)^2=z_1^2+z_2^2+2|z_1z_2|=(z_1+z_2)^2-2z_1z_2+2|z_1z_2|$

$\Leftrightarrow 4(m+1)^2-2m^2+2m^2=4 \Leftrightarrow \left[\begin{array}{l} m=0 \\ m=-2 \end{array}\right.$

Kết hợp điều kiện $m>-\dfrac{1}{2}$, ta được $m=0$.

Vậy có 2 giá trị $m=0$ hoặc $m=-1$ thỏa mãn bài toán.",,,
34,SP-34 (Trang 137 - Câu 3),Số phức,"Số phức nào dưới đây là số thuần ảo?

A. $z=-2+3i$.
B. $z=3i$.
C. $z=-2$.
D. $z=\sqrt{3}+i$.",B. $z=3i$.,Số phức là số thuần ảo nếu phần thực bằng $0$.,,,
35,SP-35 (Trang 138 - Câu 7),Số phức,"Cho hai số phức $z_1 = 5-7i$ và $z_2 = 2+3i$. Tìm số phức $z=z_1+z_2$.

A. $z=7-4i$.
B. $z=2+5i$.
C. $z=-2+5i$.
D. $z=3-10i$.",A. $z=7-4i$.,Ta có $z = 5-7i+2+3i = 7-4i$.,,,
36,SP-36 (Trang 141 - Câu 22),Số phức,"Phương trình nào dưới đây nhận hai số phức $z=1+\sqrt{2}i$ và $1-\sqrt{2}i$ là nghiệm?

A. $z^2+2z+3=0$.
B. $z^2-2z-3=0$.
C. $z^2-2z+3=0$.
D. $z^2+2z-3=0$.",C. $z^2-2z+3=0$.,Áp dụng định lý Vi-ét có tổng hai số phức là $2$ và tích của chúng là $3$ $\Rightarrow$ hai số phức là nghiệm của phương trình $z^2-2z+3=0$.,,,
37,SP-37 (Trang 142 - Câu 30),Số phức,"Cho số phức $z=1-2i$. Điểm nào dưới đây là điểm biểu diễn của số phức $w=iz$ trên mặt phẳng tọa độ?

A. $Q(1;2)$.
B. $N(2;1)$.
C. $M(1;-2)$.
D. $P(-2;1)$.",B. $N(2;1)$.,$w=iz=2+i$. Điểm biểu diễn số phức $w$ là $N(2;1)$.,,,
38,SP-38 (Trang 144 - Câu 36),Số phức,"Cho số phức $z=a+bi$ ($a,b \in \mathbb{R}$) thỏa mãn $z+1+3i-|z|i=0$. Tính $S=a+3b$.

A. $S=\dfrac{7}{3}$.
B. $S=-5$.
C. $S=5$.
D. $S=-\dfrac{7}{3}$.",B. $S=-5$.,"$z+1+3i-|z|i=0 \Leftrightarrow a+bi+1+3i-\sqrt{a^2+b^2}i=0 \Leftrightarrow a+1+\left(b+3-\sqrt{a^2+b^2}\right)i=0$

$\Leftrightarrow \begin{cases} a+1=0 \\ b+3-\sqrt{a^2+b^2}=0 \end{cases} \Leftrightarrow \begin{cases} a=-1 \\ \sqrt{b^2+1}=b+3 \end{cases} \Leftrightarrow \begin{cases} a=-1 \\ b=-\dfrac{4}{3} \end{cases}$.

$S=a+3b=-5$.",,,
39,SP-39 (Trang 148 - Câu 46),Số phức,"Có bao nhiêu số phức $z$ thỏa mãn $|z-3i|=5$ và $\dfrac{z}{z-4}$ là số thuần ảo?

A. $0$.
B. Vô số.
C. $1$.
D. $2$.",C. $1$.,"$\begin{cases} |z-3i|=5 \\ \dfrac{z}{z-4} \text{ là số thuần ảo} \end{cases} \Leftrightarrow \begin{cases} \sqrt{a^2+(b-3)^2}=5 \\ \dfrac{(a+bi)(a-4-bi)}{(a-4+bi)(a-4-bi)} \text{ là số thuần ảo} \end{cases}$

$\Leftrightarrow \begin{cases} a^2+b^2-6b=16 \\ a^2+b^2-4a=0 \\ a\ne4, b\ne0 \end{cases} \Leftrightarrow \begin{cases} 4a-6b=16 \\ a^2+b^2-4a=0 \\ a\ne4, b\ne0 \end{cases} \Leftrightarrow \begin{cases} b=\dfrac{2a-8}{3} \\ a^2+\left(\dfrac{2a-8}{3}\right)^2-4a=0 \\ a\ne4, b\ne0 \end{cases}$

$\Leftrightarrow \begin{cases} b=\dfrac{2a-8}{3} \\ 13a^2-68a+64=0 \\ a\ne4, b\ne0 \end{cases} \Leftrightarrow \begin{cases} a=\dfrac{16}{13} \\ b=-\dfrac{24}{13} \end{cases}$

Vậy có một số phức thỏa yêu cầu bài toán.",,,
40,SP-40 (Trang 153 - Câu 6),Số phức,"Số phức có phần thực bằng $3$ và phần ảo bằng $4$ là

A. $3+4i$.
B. $4-3i$.
C. $3-4i$.
D. $4+3i$.",A. $3+4i$.,Số phức có phần thực bằng $3$ và phần ảo bằng $4$ là $z = 3+4i$.,,,
